iter	Passed	Remaining
397	160752	252841
398	161114	252372
399	161508	251953
400	161890	251515
401	162298	251117
402	162698	250709
403	163087	250282
404	163484	249868
405	163849	249406
406	164247	248993
407	164632	248562
408	165039	248164
409	165397	247693
410	165816	247312
411	166190	246865
412	166572	246430
413	167011	246079
414	167399	245654
415	167779	245215
416	168164	244785
417	168554	244363
418	168943	243939
419	169322	243501
420	169704	243069
421	170069	242610
422	170460	242191
423	170856	241778
424	171236	241343
425	171626	240922
426	172015	240499
427	172440	240126
428	172857	239744
429	173243	239318
430	173640	238906
431	174020	238471
432	174422	238069
433	174813	237649
434	175197	237221
435	175590	236805
436	175989	236398
437	176364	235958
438	176771	235561
439	177184	235171
440	177585	234767
441	177948	234312
442	178341	233896
443	178721	233464
444	179110	233045
445	179469	232586
446	179849	232155
447	180245	231743
448	180667	231367
449	181076	230972
450	181463	230551
451	181828	230100
452	182196	229656
453	182580	229231
454	182935	228769
455	183439	228494
456	183867	228124
457	184290	227747
458	184770	227441
459	185164	227027
460	185576	226636
461	185956	226207
462	186339	225780
463	186722	225354
464	187097	224918
465	187502	224519
466	187891	224102
467	188255	223654
468	188648	223240
469	189032	222817
470	189410	222386
471	189797	221966
472	190157	221515
473	190561	221115
474	190932	220677
475	191311	220249
476	191695	219826
477	192083	219408
478	192445	218961
479	192833	218545
480	193195	218097
481	193587	217685
482	193972	217265
483	194327	216811
484	194715	216394
485	195122	215999
486	195521	215595
487	195907	215177
488	196301	214767
489	196748	214416
490	197158	214023
491	197564	213626
492	197952	213210
493	198317	212769
494	198707	212356
495	199094	211939
496	199460	211500
497	199840	211076
498	200245	210678
499	200639	210270
500	201039	209867
501	201419	209443
502	201807	209028
503	202185	208603
504	202576	208192
505	202981	207794
506	203339	207349
507	203734	206942
508	204116	206522
509	204504	206108
510	204886	205688
511	205285	205285
512	205681	204879
513	206075	204472
514	206465	204060
515	206849	203642
516	207243	203234
517	207640	202830
518	208034	202422
519	208407	201994
520	208903	201686
521	209269	201251
522	209625	200807
523	210007	200388
524	210405	199985
525	210818	199595
526	211215	199191
527	211590	198766
528	211972	198348
529	212374	197948
530	212764	197538
531	213141	197115
532	213567	196738
533	213957	196328
534	214318	195891
535	214719	195490
536	215132	195101
537	215537	194704
538	215934	194300
539	216319	193886
540	216710	193476
541	217134	193097
542	217506	192671
543	217892	192258
544	218276	191842
545	218659	191426
546	219043	191012
547	219448	190615
548	219870	190234
549	220262	189826
550	220636	189402
551	221009	188978
552	221405	188575
553	221788	188159
554	222172	187746
555	222549	187326
556	222942	186919
557	223330	186508
558	223736	186113
559	224112	185692
560	224482	185268
561	224847	184839
562	225226	184421
563	225623	184019
564	226004	183603
565	226365	183172
566	226742	182753
567	227141	182352
568	227542	181954
569	227953	181562
570	228341	181153
571	228719	180736
572	229096	180318
573	229474	179901
574	229870	179498
575	230260	179091
576	230615	178657
577	231002	178247
578	231393	177840
579	231823	177464
580	232240	177078
581	232636	176675
582	233017	176261
583	233399	175849
584	233777	175432
585	234163	175023
586	234547	174612
587	234928	174198
588	235307	173784
589	235666	173354
590	236037	172934
591	236401	172509
592	236791	172102
593	237198	171709
594	237594	171307
595	237957	170882
596	238365	170488
597	238750	170080
598	239109	169652
599	239475	169229
600	239857	168818
601	240253	168416
602	240626	167999
603	240987	167573
604	241344	167145
605	241724	166734
606	242125	166336
607	242496	165918
608	242897	165521
609	243283	165113
610	243670	164707
611	244040	164288
612	244424	163880
613	244823	163481
614	245205	163071
615	245591	162664
616	245995	162269
617	246451	161907
618	246834	161499
619	247226	161096
620	247612	160688
621	248052	160317
622	248482	159938
623	248871	159532
624	249273	159136
625	249660	158729
626	250033	158314
627	250391	157890
628	250776	157482
629	251205	157102
630	251564	156679
631	251957	156277
632	252335	155865
633	252719	155458
634	253076	155033
635	253467	154631
636	253859	154228
637	254250	153825
638	254646	153425
639	255027	153016
640	255392	152597
641	255783	152195
642	256207	151811
643	256563	151388
644	256930	150971
645	257329	150573
646	257738	150181
647	258150	149791
648	258623	149435
649	259033	149043
650	259447	148654
651	259895	148284
652	260269	147871
653	260663	147470
654	261090	147087
655	261482	146685
656	261926	146312
657	262353	145929
658	262733	145519
659	263113	145111
660	263483	144696
661	263876	144295
662	264233	143873
663	264623	143470
664	265010	143065
665	265401	142663
666	265773	142250
667	266166	141849
668	266555	141445
669	266937	141038
670	267317	140630
671	267689	140218
672	268051	139800
673	268474	139415
674	268856	139008
675	269232	138599
676	269637	138203
677	270014	137794
678	270411	137396
679	270796	136991
680	271173	136582
681	271574	136185
682	271957	135779
683	272347	135377
684	272736	134974
685	273126	134572
686	273516	134170
687	273899	133764
688	274281	133358
689	274643	132943
690	275034	132542
691	275421	132138
692	275819	131740
693	276199	131333
694	276603	130938
695	276994	130537
696	277350	130119
697	277759	129727
698	278112	129308
699	278570	128938
700	278964	128538
701	279345	128132
702	279736	127731
703	280090	127313
704	280480	126912
705	280860	126506
706	281248	126104
707	281639	125703
708	282018	125297
709	282402	124893
710	282784	124488
711	283179	124089
712	283536	123674
713	283923	123272
714	284299	122865
715	284680	122460
716	285080	122063
717	285438	121649
718	285814	121242
719	286211	120844
720	286597	120442
721	286977	120037
722	287362	119635
723	287763	119238
724	288143	118834
725	288530	118432
726	288928	118035
727	289316	117634
728	289673	117220
729	290068	116822
730	290447	116417
731	290838	116017
732	291226	115616
733	291618	115217
734	292002	114814
735	292397	114416
736	292784	114015
737	293137	113600
738	293521	113198
739	293899	112794
740	294278	112389
741	294658	111986
742	295036	111581
743	295423	111180
744	295791	110773
745	296186	110375
746	296567	109972
747	296946	109568
748	297317	109162
749	297749	108777
750	298144	108379
751	298525	107977
752	298927	107582
753	299335	107188
754	299724	106789
755	300122	106392
756	300519	105995
757	300907	105595
758	301290	105193
759	301704	104802
760	302066	104393
761	302452	103992
762	302813	103583
763	303168	103172
764	303559	102773
765	303961	102378
766	304362	101983
767	304749	101583
768	305139	101184
769	305513	100779
770	305904	100381
771	306314	99988
772	306706	99590
773	307091	99189
774	307452	98781
775	307862	98389
776	308333	98015
777	308751	97625
778	309112	97217
779	309486	96813
780	309843	96404
781	310239	96007
782	310639	95611
783	311023	95211
784	311400	94808
785	311786	94408
786	312165	94006
787	312528	93599
788	312913	93199
789	313288	92796
790	313661	92393
791	314046	91993
792	314421	91590
793	314827	91196
794	315218	90798
795	315608	90400
796	315996	90001
797	316371	89599
798	316734	89193
799	317126	88795
800	317502	88393
801	317906	87999
802	318317	87606
803	318698	87205
804	319107	86813
805	319482	86410
806	319865	86010
807	320234	85607
808	320620	85208
809	320994	84805
810	321361	84401
811	321760	84006
812	322151	83608
813	322534	83209
814	322921	82810
815	323316	82414
816	323691	82012
817	324072	81612
818	324461	81214
819	324839	80813
820	325210	80411
821	325569	80006
822	325950	79606
823	326326	79205
824	326681	78799
825	327103	78409
826	327491	78011
827	327876	77613
828	328267	77216
829	328622	76810
830	329024	76416
831	329422	76020
832	329829	75627
833	330220	75230
834	330610	74832
835	330994	74434
836	331379	74035
837	331760	73636
838	332137	73236
839	332535	72841
840	332919	72442
841	333288	72040
842	333661	71640
843	334034	71239
844	334426	70842
845	334829	70448
846	335217	70051
847	335594	69651
848	335977	69253
849	336348	68852
850	336721	68452
851	337083	68049
852	337459	67650
853	337842	67251
854	338236	66856
855	338620	66458
856	339027	66064
857	339411	65666
858	339790	65268
859	340156	64866
860	340531	64467
861	340919	64070
862	341308	63674
863	341683	63274
864	342080	62879
865	342459	62481
866	342851	62085
867	343223	61685
868	343589	61284
869	343945	60882
870	344331	60485
871	344713	60087
872	345084	59688
873	345441	59286
874	345822	58888
875	346208	58491
876	346599	58095
877	346955	57694
878	347333	57296
879	347706	56897
880	348095	56501
881	348483	56105
882	348881	55710
883	349296	55318
884	349650	54916
885	350051	54522
886	350441	54126
887	350864	53736
888	351269	53342
889	351666	52947
890	352021	52546
891	352402	52149
892	352794	51753
893	353171	51356
894	353553	50959
895	353955	50565
896	354329	50167
897	354734	49773
898	355126	49378
899	355499	48979
900	355893	48584
901	356264	48186
902	356623	47786
903	357004	47389
904	357475	47005
905	357868	46609
906	358300	46219
907	358664	45820
908	359068	45426
909	359483	45034
910	359870	44638
911	360245	44240
912	360629	43844
913	361030	43450
914	361431	43055
915	361829	42661
916	362229	42266
917	362611	41870
918	362969	41470
919	363337	41072
920	363699	40674
921	364069	40276
922	364460	39881
923	364887	39490
924	365400	39107
925	365812	38714
926	366188	38317
927	366585	37922
928	366987	37528
929	367400	37135
930	367805	36741
931	368182	36344
932	368590	35950
933	368982	35555
934	369391	35161
935	369793	34766
936	370171	34370
937	370550	33973
938	370924	33576
939	371286	33178
940	371683	32784
941	372065	32387
942	372444	31991
943	372823	31595
944	373200	31198
945	373584	30802
946	373977	30407
947	374369	30012
948	374770	29618
949	375188	29225
950	375566	28829
951	375964	28434
952	376345	28038
953	376737	27643
954	377125	27247
955	377512	26852
956	377895	26456
957	378278	26060
958	378743	25670
959	379141	25276
960	379530	24880
961	379918	24485
962	380304	24089
963	380700	23695
964	381083	23299
965	381442	22902
966	381804	22505
967	382179	22109
968	382579	21715
969	382962	21319
970	383319	20922
971	383733	20528
972	384131	20134
973	384514	19738
974	384899	19343
975	385282	18948
976	385661	18552
977	386050	18157
978	386435	17762
979	386836	17368
980	387208	16972
981	387594	16577
982	387984	16182
983	388374	15787
984	388769	15392
985	389184	14998
986	389583	14604
987	389984	14209
988	390369	13814
989	390749	13419
990	391143	13024
991	391533	12630
992	391914	12234
993	392288	11839
994	392674	11444
995	393079	11050
996	393461	10655
997	393834	10260
998	394216	9865
999	394611	9470
1000	395003	9076
1001	395383	8681
1002	395784	8286
1003	396146	7891
1004	396542	7496
1005	396921	7101
1006	397317	6707
1007	397709	6312
1008	398084	5917
1009	398480	5523
1010	398851	5128
1011	399249	4734
1012	399640	4339
1013	400032	3945
1014	400389	3550
1015	400785	3155
1016	401171	2761
1017	401557	2366
1018	401936	1972
1019	402316	1577
1020	402709	1183
1021	403090	788
1022	403506	394
1023	403885	0
